"","Mean_comp_count","Class","Mean_fil_ind","Med_fil_ind","Mean_density","Med_density","Mean_area","Med_area","Mean_comp_count_alt","Med_comp_count_alt","Mean_distance","Med_distance"
"48",1.01010101010101,1,2.16779797979798,2.047,0.554868686868687,0.687,0.523269639393939,0.577,8.98989898989899,6,188.300119051512,132.857301454004
"49",0.929292929292929,1,2.18071717171717,2.206,0.555070707070707,0.666,0.525887357575758,0.561,7.67676767676768,5,121.094874803506,83.9910190586335
"50",0.929292929292929,1,2.73667676767677,2.439,0.628717171717172,0.824,0.598693726262626,0.747,4.39393939393939,3,50.0191792088806,21.3257906241267
"51",1.27272727272727,1,2.91286868686869,3.334,0.616050505050505,0.787,0.582448935353535,0.691,8.13131313131313,4,167.958884574195,99.06226423365
"52",1.2020202020202,1,3.14517171717172,3.396,0.584050505050505,0.742,0.56435581010101,0.645,13.2828282828283,6,300.26162755042,173.361092393909
"53",1.76767676767677,1,3.67925252525253,2.542,0.671606060606061,0.861,0.633838383838384,0.779,25.1919191919192,15,728.089530830894,556.669800846784
"54",0.939393939393939,1,2.31956565656566,1.856,0.531717171717172,0.587,0.509292081818182,0.488,9.65656565656566,3,196.687953218869,70.1653625052278
"55",1.21212121212121,1,3.08486868686869,2.747,0.637525252525252,0.859,0.61523574040404,0.793,12.3737373737374,5,269.193009558235,157.735279401856
"56",1.15151515151515,1,3.07915151515152,3.401,0.506787878787879,0.517,0.464987232323232,0.394,12.5656565656566,8,284.876590430725,215.397787562081
"57",1.27272727272727,1,5.38018181818182,6.655,0.641121212121212,0.849,0.611919191919192,0.734,25.7878787878788,22,623.309761868771,607.046187724939
"58",0.848484848484849,1,2.44706060606061,2.65,0.54369696969697,0.671,0.528352633333333,0.575,8.2020202020202,2,164.296012052224,57.2698329064403
"59",0.888888888888889,1,3.24267676767677,3.378,0.562060606060606,0.671,0.526291962626263,0.553,9.94949494949495,7,233.74686575987,165.672691911459
"60",1.18181818181818,1,3.65056565656566,3.114,0.592707070707071,0.762,0.562227213131313,0.665,18.4545454545455,14,572.668000340142,535.306961718969
"61",2.3030303030303,1,4.01444444444444,3.966,0.558747474747475,0.637,0.510833927272727,0.503,30.3737373737374,24,1199.13764093126,996.399916080355
"62",1.52525252525253,1,3.13661616161616,2.942,0.525545454545455,0.562,0.491179324242424,0.441,21.7676767676768,12,745.969443307427,592.2972230565
"63",1.31313131313131,1,4.71729292929293,5.01,0.511565656565657,0.532,0.446199095959596,0.377,27.7979797979798,26,1108.68487412773,1026.39312135259
"64",1.11111111111111,1,5.02723232323232,5.029,0.555292929292929,0.632,0.50310101010101,0.485,14.2323232323232,13,462.874487582753,300.834731798322
"65",1.22222222222222,1,2.68613131313131,3.515,0.475242424242424,0.44,0.446530691919192,0.33,14.2323232323232,9,371.505346055164,216.574843982026
"66",1.37373737373737,1,3.29264646464646,2.5,0.490666666666667,0.475,0.452877039393939,0.356,21.010101010101,16,688.571356553111,513.391394577492
"67",1.83838383838384,1,4.24490909090909,5.468,0.479777777777778,0.437,0.433971748484848,0.311,28.2121212121212,22,1361.25251318493,1361.2195441452
"68",1.41414141414141,1,4.67633333333333,4.105,0.630909090909091,0.829,0.60389898989899,0.738,25.8787878787879,24,954.682402590595,819.049181494119
"69",1.14141414141414,1,3.46068686868687,4.589,0.552878787878788,0.68,0.536012933333333,0.572,9.73737373737374,5,208.779647287308,131.118216588659
"70",0.96969696969697,1,3.44666666666667,2.703,0.605181818181818,0.822,0.583603086868687,0.756,11.1414141414141,4,254.568688611723,49.2138036034911
"71",1.42424242424242,1,4.28981818181818,4.188,0.440656565656566,0.352,0.379168993939394,0.215,22.5050505050505,27,845.147519344357,964.984481519741
"72",1.51515151515152,1,3.88185858585859,3.8,0.625272727272727,0.764,0.576141414141414,0.654,21.1616161616162,17,691.642237094864,599.037933521695
"73",1.43434343434343,1,3.83835353535354,4.03,0.540717171717172,0.588,0.485992547474747,0.445,14.1414141414141,12,425.67504315754,364.703473728836
"74",1.17171717171717,1,4.01169696969697,3.42,0.548444444444444,0.587,0.505645165656566,0.462,16.7878787878788,14,546.409134624532,325.617652478283
"75",1.09090909090909,1,5.57515151515152,4.587,0.636757575757576,0.805,0.598737373737374,0.72,7.21212121212121,5,142.010663797601,82.4549260212996
"76",1.87878787878788,1,3.22759595959596,2.755,0.592868686868687,0.76,0.553837632323232,0.66,21.5555555555556,15,627.181751289688,462.023812206317
"77",0.909090909090909,1,5.36967676767677,5.759,0.638454545454545,0.794,0.590444444444444,0.68,8.61616161616162,7,202.503240021725,119.381914578038
"78",1.67676767676768,1,3.7619494949495,3.734,0.631666666666667,0.776,0.576333333333333,0.655,20.2222222222222,14,687.940123992401,734.026784466072
"79",1.71717171717172,1,4.02028282828283,3.918,0.611505050505051,0.748,0.547323232323232,0.607,17.3131313131313,15,563.819674918719,448.016816799026
"80",1.63636363636364,1,3.98206060606061,3.118,0.518262626262626,0.524,0.467386646464646,0.387,15.1414141414141,14,479.030339114912,365.270096415882
"81",1.33333333333333,1,3.7439898989899,2.786,0.590979797979798,0.721,0.551141414141414,0.62,11.7474747474747,9,280.067621973533,185.107052870902
"82",1.25252525252525,1,5.31166666666667,5.202,0.551585858585859,0.611,0.475343434343434,0.429,22.1616161616162,23,683.232293763407,690.634953482189
"83",1.11111111111111,1,4.29153535353535,4.009,0.611080808080808,0.768,0.569535353535354,0.663,12.4949494949495,8,276.130596565005,220.849717928612
"84",2.25252525252525,1,3.53536363636364,4.364,0.532464646464646,0.562,0.462604052525253,0.4,26.2424242424242,30,1006.03883273685,1042.48046357112
"85",1.31313131313131,1,4.63851515151515,4.371,0.622252525252525,0.803,0.576646464646465,0.697,21.3535353535354,16,834.273179183592,693.411388988351
"86",1.08080808080808,1,3.91893939393939,5.454,0.475585858585859,0.448,0.441762472727273,0.335,10,6,242.516492027101,147.391291914469
"87",1.39393939393939,0,2.83188888888889,2.423,0.517,0.557,0.486854953535354,0.446,12.8484848484848,6,305.53842058423,173.394696987528
"88",1.03030303030303,0,2.6590202020202,0,0.340585858585859,0,0.311826363636364,0.072,17.9292929292929,17,451.202924542141,552.056672626202
"89",1.60606060606061,0,3.25023232323232,3.122,0.544151515151515,0.607,0.506262626262626,0.479,18.5656565656566,15,420.421607479242,455.59433717582
"90",1.46464646464646,0,3.50355555555556,4.088,0.48330303030303,0.463,0.441209452525253,0.329,24.6868686868687,25,526.353630751236,486.729445887095
"91",0.797979797979798,0,2.8890303030303,2.903,0.537484848484848,0.583,0.501229692929293,0.454,7.15151515151515,8,116.076615383383,88.5928117636559
"92",1.09090909090909,0,3.42569696969697,4.378,0.501626262626263,0.546,0.436549796969697,0.377,14.2929292929293,16,489.184982030594,497.682261527766
"93",0.96969696969697,0,3.41423232323232,4.071,0.46440404040404,0.378,0.428064255555556,0.267,10.030303030303,4,239.982179133998,69.7015118926791
